type,inputUser,inputGroup,action,modificationMode,name,specialDatesToDeleteList,specialCommentsToDeleteList,yearlyDatesToDeleteList,yearlyCommentsToDeleteList,businessDatesToDeleteList,businessCommentsToDeleteList,selected
calendar,MIGRATION,MIGRATION,modification,remove,OSS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TDF,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MEB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,GGB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,DZB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,WEX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,KAB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BDX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,IPCA,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SSB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TAB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HRX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,APP,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TQI,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,CXK,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,PUS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,ACB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,ABX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MPB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,KNB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TIB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BGB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,ICF,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TEB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BMP,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MJB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,DFE,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,DCF,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,VZB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SUN,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,LIG,20050325,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20051010,Columbus Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20060904,Labor Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20090525,Memorial Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20110905,Labor Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20111010,Columbus Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20130902,Labor Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20131014,Columbus Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20131128,Thanksgiving Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20140526,Memorial Day,,,,,Yes
